Month_Year,Product,Production,Detail,Actual,Standard
FEB_2024,Singha 5.0%,BEER CN 330ml (Export),Malt,0,0
FEB_2024,Singha 5.0%,BEER CN 330ml (Export),Hop,0,0
FEB_2024,Singha 5.0%,BEER CN 330ml (Export),Additive,0,0
FEB_2024,Singha 5.0%,BEER CN 330ml (Export),Syrup,0,0
FEB_2024,Singha 5.0%,BEER CN 330ml (Export),RM Oth-Water,0,0
FEB_2024,Singha 5.0%,BEER CN 330ml (Export),RM Oth-WT&CO2,0,0
FEB_2024,Singha 5.0%,BEER CN 330ml (Export),Fuel,0.1648,0.1334
FEB_2024,Singha 5.0%,BEER CN 330ml (Export),Power&Utilities,0.1080,0.1548
FEB_2024,Singha 5.0%,BEER CN 330ml (Export),Chemicals-Lab,0.0018,0.0019
FEB_2024,Singha 5.0%,BEER CN 330ml (Export),Chemicals-CIP,0.0206,0.0191
FEB_2024,Singha 5.0%,BEER CN 330ml (Export),Chemicals-Filling,0.0760,0.0237
FEB_2024,Singha 5.0%,BEER CN 330ml (Export),Chemicals-WWT,0.0006,0.0007
FEB_2024,Singha 5.0%,BEER CN 330ml (Export),Lid,2.4258,2.4707
FEB_2024,Singha 5.0%,BEER CN 330ml (Export),Can,6.8254,7.2187
FEB_2024,Singha 5.0%,BEER CN 330ml (Export),Tray,0.4876,0.4938
FEB_2024,Singha 5.0%,BEER CN 330ml (Export),Partition,0,0
FEB_2024,Singha 5.0%,BEER CN 330ml (Export),Carton,0,0
FEB_2024,Singha 5.0%,BEER CN 330ml (Export),Label,0,0
FEB_2024,Singha 5.0%,BEER CN 330ml (Export),Bottle,0,0
FEB_2024,Singha 5.0%,BEER CN 330ml (Export),Crown,0,0
FEB_2024,Singha 5.0%,BEER CN 330ml (Export),Cluster Pack,0,0.0095
FEB_2024,Singha 5.0%,BEER CN 330ml (Export),Packaging-Other,0.1771,0.2075
FEB_2024,Singha 5.0%,BEER CN 330ml (Export),Miscellaneous,0.0248,0.0392
FEB_2024,Singha 5.0%,BEER CN 330ml (Export),Repair&Maintenance,0.0740,0.2993
FEB_2024,Singha 5.0%,BEER CN 330ml (Export),Overtime,0.1616,0.1126
FEB_2024,Singha 5.0%,BEER CN 320ml (Export),Malt,0,0
FEB_2024,Singha 5.0%,BEER CN 320ml (Export),Hop,0,0
FEB_2024,Singha 5.0%,BEER CN 320ml (Export),Additive,0,0
FEB_2024,Singha 5.0%,BEER CN 320ml (Export),Syrup,0,0
FEB_2024,Singha 5.0%,BEER CN 320ml (Export),RM Oth-Water,0,0
FEB_2024,Singha 5.0%,BEER CN 320ml (Export),RM Oth-WT&CO2,0,0
FEB_2024,Singha 5.0%,BEER CN 320ml (Export),Fuel,0.1648,0.1334
FEB_2024,Singha 5.0%,BEER CN 320ml (Export),Power&Utilities,0.1080,0.1548
FEB_2024,Singha 5.0%,BEER CN 320ml (Export),Chemicals-Lab,0.0018,0.0019
FEB_2024,Singha 5.0%,BEER CN 320ml (Export),Chemicals-CIP,0.0206,0.0191
FEB_2024,Singha 5.0%,BEER CN 320ml (Export),Chemicals-Filling,0.0760,0.0237
FEB_2024,Singha 5.0%,BEER CN 320ml (Export),Chemicals-WWT,0.0006,0.0007
FEB_2024,Singha 5.0%,BEER CN 320ml (Export),Cap,0,0
FEB_2024,Singha 5.0%,BEER CN 320ml (Export),Sticker,0.1211,0.5938
